Returned,OrderID,Region
Yes,IN-2015-CD1192059-42326,SoutheasternAsia
Yes,IN-2012-ES1408027-40941,EasternAsia
Yes,MX-2013-DO1364512-41461,Caribbean
Yes,CG-2013-SC1030533-41538,CentralAfrica
Yes,SI-2015-SM10005115-42252,SouthernEurope
Yes,IN-2012-GT1471058-41158,SouthernAsia
Yes,ID-2013-SC2080059-41380,SoutheasternAsia
Yes,MX-2013-HF1499518-41423,SouthAmerica
Yes,ES-2012-AG1049545-41002,WesternEurope
Yes,IN-2015-SD2048527-42259,EasternAsia
Yes,CA-2012-PC18745140-41273,EasternUS
Yes,US-2015-DH13075140-42092,WesternUS
Yes,ES-2015-LR1691545-42237,WesternEurope
Yes,SF-2015-CD1920117-42055,SouthernAfrica
Yes,ES-2012-TT2146045-41014,WesternEurope
Yes,IN-2015-PS1904558-42272,SouthernAsia
Yes,CA-2015-KL16555140-42313,SouthernUS
Yes,US-2013-PO1918082-41504,CentralAmerica
Yes,ID-2015-JG15310130-42133,SoutheasternAsia
Yes,ES-2014-MG17680120-41867,SouthernEurope
Yes,ES-2015-RA1994548-42249,WesternEurope
Yes,IT-2015-KD1634545-42238,WesternEurope
Yes,CA-2012-DP13165140-41244,EasternUS
Yes,CA-2014-EH13765140-41997,WesternUS
Yes,ID-2015-TB214007-42322,Oceania
Yes,MX-2013-ES1408018-41619,SouthAmerica
Yes,IN-2012-TB2152059-41207,SoutheasternAsia
Yes,ES-2012-MR1754564-41157,SouthernEurope
Yes,IN-2015-GW1460558-42173,SouthernAsia
Yes,CA-2013-JK15205140-41544,SouthernUS
Yes,IN-2015-GM1445558-42273,SouthernAsia
Yes,CA-2015-MG18145140-42285,WesternUS
Yes,CA-2013-EM13960140-41548,WesternUS
Yes,ES-2014-RM1937545-41643,WesternEurope
Yes,IN-2012-GG1465027-40992,EasternAsia
Yes,IN-2014-TB2140066-41873,EasternAsia
Yes,MX-2015-MP1796518-42189,SouthAmerica
Yes,US-2012-LT17110140-41060,SouthernUS
Yes,ES-2013-BF1117048-41527,WesternEurope
Yes,ID-2013-CC126857-41572,Oceania
Yes,ES-2013-AJ1094548-41444,WesternEurope
Yes,US-2015-GZ14545140-42212,WesternUS
Yes,ES-2015-BM1165045-42176,WesternEurope
Yes,ID-2014-RD197207-41776,Oceania
Yes,MX-2015-DB1336018-42280,SouthAmerica
Yes,US-2012-CV12295140-40995,CentralUS
Yes,IT-2013-BF1102045-41418,WesternEurope
Yes,IN-2015-LT1676511-42286,SouthernAsia
Yes,IN-2015-VB217451-42349,SouthernAsia
Yes,IT-2014-JG15115104-41952,SouthernEurope
Yes,MX-2012-JP1552018-41174,SouthAmerica
Yes,MX-2012-RD1993051-41223,CentralAmerica
Yes,IN-2015-AT1043559-42243,SoutheasternAsia
Yes,IN-2012-SC2069559-41248,SoutheasternAsia
Yes,ES-2012-ER13855120-41159,SouthernEurope
Yes,ES-2012-TB2162545-41262,WesternEurope
Yes,ES-2013-CM124458-41375,WesternEurope
Yes,US-2012-BF11170140-41266,WesternUS
Yes,ID-2014-CJ1187592-41831,Oceania
Yes,RS-2015-GG4650108-42102,EasternEurope
Yes,ES-2015-KA1652545-42353,WesternEurope
Yes,MX-2014-CW1190593-41788,CentralAmerica
Yes,MX-2015-SV2078582-42347,CentralAmerica
Yes,ES-2012-DJ1351048-40923,WesternEurope
Yes,CA-2014-HF14995140-41761,SouthernUS
Yes,CA-2014-CL12565140-41788,WesternUS
Yes,CA-2012-LR16915140-41128,WesternUS
Yes,CA-2015-KH16510140-42347,WesternUS
Yes,MX-2015-KC1667518-42070,SouthAmerica
Yes,CA-2014-ON18715140-41959,SouthernUS
Yes,IN-2013-MA1799559-41314,SoutheasternAsia
Yes,IS-2014-RA928563-41916,WesternAsia
Yes,IN-2012-TB2162588-41177,SoutheasternAsia
Yes,IN-2012-MC1784559-41116,SoutheasternAsia
Yes,ID-2014-KH16690144-41991,SoutheasternAsia
Yes,ES-2015-AT1073545-42367,WesternEurope
Yes,ES-2014-PO1885048-41898,WesternEurope
Yes,CA-2015-EB13750140-42111,SouthernUS
Yes,EG-2015-AC66038-42250,NorthAfrica
Yes,IN-2013-TH2111558-41488,SouthernAsia
Yes,ES-2012-GH14485139-41054,NorthernEurope
Yes,ES-2014-LL1684048-41986,WesternEurope
Yes,CA-2014-NS18640140-41985,EasternUS
Yes,ID-2012-MD1786059-40965,SoutheasternAsia
Yes,ES-2012-TB2140048-40968,WesternEurope
Yes,RS-2015-TB11520108-42126,EasternEurope
Yes,ID-2015-BG1169588-42012,SoutheasternAsia
Yes,CA-2014-ES14020140-41802,EasternUS
Yes,ES-2015-HG14965120-42080,SouthernEurope
Yes,MX-2012-SW2075593-41250,CentralAmerica
Yes,CA-2012-BP11095140-41261,WesternUS
Yes,IN-2014-BG110357-41735,Oceania
Yes,ES-2015-EB1417064-42012,SouthernEurope
Yes,MX-2015-EH1418531-42166,Caribbean
Yes,IN-2015-DS1303058-42173,SouthernAsia
Yes,CA-2015-AG10900140-42126,SouthernUS
Yes,ES-2013-DE1325545-41278,WesternEurope
Yes,SA-2013-JD6150110-41600,WesternAsia
Yes,ID-2015-HA1490592-42287,Oceania
Yes,CA-2013-IM15070140-41459,CentralUS
Yes,US-2015-TZ2144518-42259,SouthAmerica
Yes,ES-2015-DK1309045-42158,WesternEurope
Yes,MX-2013-PT1909082-41579,CentralAmerica
Yes,ES-2015-EB141108-42267,WesternEurope
Yes,SF-2014-JD6060117-41648,SouthernAfrica
Yes,ES-2015-AR1051045-42234,WesternEurope
Yes,IN-2013-CL1270027-41555,EasternAsia
Yes,ES-2015-AH1012045-42057,WesternEurope
Yes,IT-2013-ZD2192548-41503,WesternEurope
Yes,IN-2014-DJ1342058-41646,SouthernAsia
Yes,ES-2014-LC1705048-41718,WesternEurope
Yes,MX-2014-AJ1096031-41801,Caribbean
Yes,CA-2014-CP12340140-41808,EasternUS
Yes,IN-2013-JK1609027-41615,EasternAsia
Yes,AJ-2013-SG108909-41580,WesternAsia
Yes,MX-2015-DV1304593-42215,CentralAmerica
Yes,ES-2013-TP2156545-41598,WesternEurope
Yes,US-2015-HG1484551-42171,CentralAmerica
Yes,IN-2014-AM103607-41864,Oceania
Yes,CA-2015-DO13645140-42263,WesternUS
Yes,ES-2014-JP1552045-41871,WesternEurope
Yes,MX-2013-JR1621037-41627,SouthAmerica
Yes,MX-2013-RL1961582-41572,CentralAmerica
Yes,ES-2014-EP1391548-42004,WesternEurope
Yes,IN-2013-CD1228058-41311,SouthernAsia
Yes,MX-2013-EC1405018-41599,SouthAmerica
Yes,MX-2013-PO1885051-41338,CentralAmerica
Yes,CA-2012-FP14320140-41251,EasternUS
Yes,MX-2012-YS2188093-41060,CentralAmerica
Yes,IN-2013-CC1261027-41286,EasternAsia
Yes,IN-2014-DB1321027-41899,EasternAsia
Yes,MX-2014-JR1570036-41775,Caribbean
Yes,CA-2013-VD21670140-41583,SouthernUS
Yes,CA-2014-BM11785140-41835,CentralUS
Yes,ES-2014-JP16135139-41899,NorthernEurope
Yes,US-2012-KB1631598-41064,CentralAmerica
Yes,IN-2012-AM10705130-41151,SoutheasternAsia
Yes,MX-2015-SC2038093-42151,CentralAmerica
Yes,GH-2013-MH729049-41615,WesternAfrica
Yes,IN-2013-NC1834058-41385,SouthernAsia
Yes,CA-2013-EB14110140-41377,WesternUS
Yes,IN-2015-JF1549078-42334,SoutheasternAsia
Yes,ID-2015-HM148607-42243,Oceania
Yes,CA-2014-NS18505140-41968,CentralUS
Yes,ID-2013-AO1081059-41556,SoutheasternAsia
Yes,CA-2015-VW21775140-42326,EasternUS
Yes,MO-2013-NK849086-41366,NorthAfrica
Yes,IN-2014-KL1655592-41857,Oceania
Yes,CA-2014-SN20560140-41817,CentralUS
Yes,MX-2014-SJ2012539-41908,CentralAmerica
Yes,MX-2015-DP1316593-42293,CentralAmerica
Yes,ES-2013-MN1793548-41466,WesternEurope
Yes,SA-2014-SJ10125110-41944,WesternAsia
Yes,IT-2015-ME18010124-42235,NorthernEurope
Yes,CA-2015-AD10180140-42340,EasternUS
Yes,ID-2014-TB2125059-41973,SoutheasternAsia
Yes,IN-2013-PS187607-41402,Oceania
Yes,CA-2012-MC17425140-41058,CentralUS
Yes,US-2014-DA134505-41926,SouthAmerica
Yes,ID-2015-EN137807-42312,Oceania
Yes,MX-2015-CB1241598-42333,CentralAmerica
Yes,HU-2015-JP552057-42249,EasternEurope
Yes,CA-2012-KH16630140-41213,SouthernUS
Yes,CA-2012-BS11755140-41046,EasternUS
Yes,US-2015-SJ2021554-42255,Caribbean
Yes,MX-2012-KT1646518-41017,SouthAmerica
Yes,MX-2015-AS1028518-42351,SouthAmerica
Yes,MX-2015-SC2068082-42231,CentralAmerica
Yes,ES-2014-MW1822048-41998,WesternEurope
Yes,MX-2013-MF1766551-41402,CentralAmerica
Yes,CA-2014-JM15535140-41998,EasternUS
Yes,CA-2012-CC247523-41031,EasternCanada
Yes,CA-2012-NC18535140-41112,WesternUS
Yes,IN-2013-MM172607-41395,Oceania
Yes,IN-2013-PR1888027-41430,EasternAsia
Yes,NI-2014-RA994595-41979,WesternAfrica
Yes,US-2012-RB19435140-41237,WesternUS
Yes,ES-2014-LP17095139-41772,NorthernEurope
Yes,MX-2014-FA1423055-41976,CentralAmerica
Yes,IN-2014-SH19975130-41975,SoutheasternAsia
Yes,CA-2014-GK14620140-41753,WesternUS
Yes,US-2012-DK1289598-41166,CentralAmerica
Yes,ES-2014-AB10165139-41888,NorthernEurope
Yes,US-2014-SP20860140-41968,WesternUS
Yes,IT-2012-GD1459091-40988,WesternEurope
Yes,IN-2014-NB1865527-41858,EasternAsia
Yes,PL-2012-JD5790103-41249,EasternEurope
Yes,KE-2015-JH598569-42317,EasternAfrica
Yes,MX-2014-DC1328518-41751,SouthAmerica
Yes,ES-2014-HG1502548-41783,WesternEurope
Yes,IV-2014-AM70529-41678,WesternAfrica
Yes,RO-2014-ND8370107-41839,EasternEurope
Yes,EG-2015-AY55538-42121,NorthAfrica
Yes,MO-2014-KH669086-41830,NorthAfrica
Yes,IN-2014-SR2074027-41767,EasternAsia
Yes,IN-2013-MF176657-41300,Oceania
Yes,ES-2013-HM1498064-41289,SouthernEurope
Yes,MX-2015-DL1331582-42335,CentralAmerica
Yes,US-2013-MW1822036-41387,Caribbean
Yes,US-2014-BG11695140-42001,CentralUS
Yes,MX-2014-SW2075582-41811,CentralAmerica
Yes,MO-2014-MO795086-41706,NorthAfrica
Yes,MX-2015-PO1885082-42279,CentralAmerica
Yes,US-2014-DR12880140-41723,WesternUS
Yes,CA-2012-AG10525140-41153,CentralUS
Yes,IT-2013-KH1669045-41490,WesternEurope
Yes,US-2012-JP155205-41153,SouthAmerica
Yes,CG-2015-AM70533-42233,CentralAfrica
Yes,CA-2015-AJ10945140-42248,CentralUS
Yes,MX-2013-SO2033526-41400,SouthAmerica
Yes,IN-2012-TS2150559-40990,SoutheasternAsia
Yes,CA-2015-MV17485140-42333,WesternUS
Yes,IN-2015-SC2038027-42306,EasternAsia
Yes,IT-2012-JC1610564-41053,SouthernEurope
Yes,CA-2015-LE16810140-42348,WesternUS
Yes,US-2013-BB1099036-41379,Caribbean
Yes,TU-2013-AH195134-41319,WesternAsia
Yes,MX-2014-TS2120518-41791,SouthAmerica
Yes,IR-2012-FH436560-41114,SouthernAsia
Yes,MX-2014-SH2039582-41895,CentralAmerica
Yes,US-2014-GT14710140-41980,WesternUS
Yes,IR-2014-BN151560-41880,SouthernAsia
Yes,ES-2012-SH2039545-40914,WesternEurope
Yes,SA-2013-SC10260110-41451,WesternAsia
Yes,CA-2014-BD11605140-41742,SouthernUS
Yes,IN-2012-VD2167059-41269,SoutheasternAsia
Yes,ES-2015-MY17380120-42316,SouthernEurope
Yes,CA-2015-LC16870140-42091,SouthernUS
Yes,IN-2012-TR2132527-41188,EasternAsia
Yes,IN-2014-JC1538558-41815,SouthernAsia
Yes,MX-2012-NG1843018-41201,SouthAmerica
Yes,EG-2015-DM301538-42367,NorthAfrica
Yes,BU-2014-CS186019-41993,EasternEurope
Yes,ID-2014-CT11995118-41810,EasternAsia
Yes,IN-2012-EH139907-41140,Oceania
Yes,CA-2012-RD19585140-41000,SouthernUS
Yes,CA-2015-CW11905140-42138,EasternUS
Yes,MX-2014-NC1862593-41955,CentralAmerica
Yes,MX-2013-RB1936082-41552,CentralAmerica
Yes,IN-2012-AS1028527-41034,EasternAsia
Yes,IN-2014-AO108107-41721,Oceania
Yes,MX-2015-HG1484536-42070,Caribbean
Yes,ID-2015-JE1561097-42193,SouthernAsia
Yes,ES-2014-CY1274564-41726,SouthernEurope
Yes,IR-2014-SM1095060-41746,SouthernAsia
Yes,US-2012-PB1915055-41157,CentralAmerica
Yes,ES-2014-JB1600048-41856,WesternEurope
Yes,ES-2015-JC1577548-42328,WesternEurope
Yes,IT-2014-LP1708091-41907,WesternEurope
Yes,MX-2012-ME1732018-41164,SouthAmerica
Yes,CA-2014-TS21655140-41999,SouthernUS
Yes,ES-2015-SV20935139-42369,NorthernEurope
Yes,MX-2015-CJ12010141-42298,SouthAmerica
Yes,CA-2012-SH20395140-41214,WesternUS
Yes,IN-2013-GM1445527-41622,EasternAsia
Yes,CA-2013-MS17530140-41579,SouthernUS
Yes,US-2013-HD1478598-41583,CentralAmerica
Yes,US-2015-CB1202582-42305,CentralAmerica
Yes,CA-2015-BH11710140-42346,SouthernUS
Yes,MX-2012-MO1750016-41222,SouthAmerica
Yes,ES-2012-MG17890139-41257,NorthernEurope
Yes,CA-2013-PO19195140-41598,EasternUS
Yes,ES-2015-KW1643545-42032,WesternEurope
Yes,CA-2013-SS20515140-41479,SouthernUS
Yes,MX-2012-RL1961539-40965,CentralAmerica
Yes,MX-2014-SZ2003531-41822,Caribbean
Yes,ID-2013-BT115307-41508,Oceania
Yes,MX-2012-TG2131018-41132,SouthAmerica
Yes,CA-2012-TT21070140-41159,SouthernUS
Yes,CA-2015-TS21505140-42316,WesternUS
Yes,ES-2013-AW1084064-41519,SouthernEurope
Yes,CA-2015-DV13045140-42350,SouthernUS
Yes,ES-2015-BP11185139-42175,NorthernEurope
Yes,US-2015-EB13930140-42208,CentralUS
Yes,ES-2014-RS1942048-41831,WesternEurope
Yes,CG-2012-MM828033-40983,CentralAfrica
Yes,MX-2013-JD1589536-41523,Caribbean
Yes,IN-2014-DB1291027-41870,EasternAsia
Yes,ES-2014-DV1346564-41961,SouthernEurope
Yes,MX-2015-JK1564055-42174,CentralAmerica
Yes,CA-2015-LW17215140-42106,WesternUS
Yes,MX-2012-PM1894031-41208,Caribbean
Yes,BU-2012-EH394519-41265,EasternEurope
Yes,MX-2012-VM2183551-41185,CentralAmerica
Yes,CA-2012-AZ10750140-40992,EasternUS
Yes,IT-2015-KB1631564-42301,SouthernEurope
Yes,IT-2015-EK13795139-42277,NorthernEurope
Yes,ID-2015-AS1009058-42316,SouthernAsia
Yes,MX-2015-MC1742593-42304,CentralAmerica
Yes,MX-2014-DW1358531-41779,Caribbean
Yes,ES-2015-AB1016545-42356,WesternEurope
Yes,MX-2015-DG1330093-42319,CentralAmerica
Yes,MX-2013-SW2027536-41587,Caribbean
Yes,MX-2015-SP2065082-42257,CentralAmerica
Yes,IN-2014-CC125507-41963,Oceania
Yes,ES-2015-CW11905139-42288,NorthernEurope
Yes,ZA-2015-SW10350146-42061,EasternAfrica
Yes,IN-2015-PR1888027-42125,EasternAsia
Yes,ES-2014-DB1327045-41689,WesternEurope
Yes,ES-2012-PM1894045-41145,WesternEurope
Yes,CA-2013-AG10495140-41571,CentralUS
Yes,ES-2012-CD1198048-41151,WesternEurope
Yes,ES-2015-SF20200139-42229,NorthernEurope
Yes,MX-2012-BD1150093-41041,CentralAmerica
Yes,ES-2015-BE11410120-42225,SouthernEurope
Yes,BN-2012-RW963015-41216,WesternAfrica
Yes,US-2014-HP148155-41906,SouthAmerica
Yes,ES-2015-BF11170139-42174,NorthernEurope
Yes,IN-2015-DB129707-42152,Oceania
Yes,CA-2012-EH13765140-41199,EasternUS
Yes,IN-2012-BB115457-41194,Oceania
Yes,IN-2012-SG206057-40978,Oceania
Yes,IN-2015-RH1951011-42040,SouthernAsia
Yes,ZA-2014-JW6075146-41739,EasternAfrica
Yes,ES-2012-JA15970139-41080,NorthernEurope
Yes,IN-2012-JR1567027-41031,EasternAsia
Yes,ES-2013-JE1547545-41450,WesternEurope
Yes,IT-2014-LS1720064-41954,SouthernEurope
Yes,IN-2014-CA1226527-41794,EasternAsia
Yes,UP-2014-AA645137-41807,EasternEurope
Yes,NI-2014-MH745595-41696,WesternAfrica
Yes,ID-2015-EJ1415592-42299,Oceania
Yes,ID-2014-KD1649559-41807,SoutheasternAsia
Yes,ES-2014-DK1298548-41711,WesternEurope
Yes,BU-2014-MH745519-41670,EasternEurope
Yes,ID-2015-NR18550102-42078,SoutheasternAsia
Yes,IN-2012-JH1591027-41262,EasternAsia
Yes,IN-2012-JL151307-40988,Oceania
Yes,IT-2015-AG1049545-42229,WesternEurope
Yes,CA-2014-JF15565140-41686,EasternUS
Yes,IN-2014-SH2063527-41858,EasternAsia
Yes,IN-2015-LD1700558-42285,SouthernAsia
Yes,LO-2012-JL5850114-41121,EasternEurope
Yes,BO-2014-KH636013-41859,EasternEurope
Yes,US-2013-EM1382555-41579,CentralAmerica
Yes,IT-2015-MB1808591-42145,WesternEurope
Yes,SF-2014-EL3735117-41875,SouthernAfrica
Yes,TU-2014-JF5565134-41818,WesternAsia
Yes,MX-2014-BM1114055-41961,CentralAmerica
Yes,TU-2015-SW10275134-42311,WesternAsia
Yes,ES-2014-SS208758-41683,WesternEurope
Yes,US-2014-BW1120018-41979,SouthAmerica
Yes,IN-2013-TD20995130-41609,SoutheasternAsia
Yes,ES-2015-KB1660096-42048,NorthernEurope
Yes,IN-2015-Dl1360058-42364,SouthernAsia
Yes,ES-2014-MB18085139-41956,NorthernEurope
Yes,IT-2015-AR10345139-42116,NorthernEurope
Yes,IN-2013-JG1531027-41602,EasternAsia
Yes,ES-2014-MC1810045-41982,WesternEurope
Yes,CA-2015-HG15025140-42363,EasternUS
Yes,MO-2015-AB25586-42117,NorthAfrica
Yes,US-2012-CS1246036-41247,Caribbean
Yes,ES-2014-JD1606045-41699,WesternEurope
Yes,MX-2013-EM1381018-41552,SouthAmerica
Yes,MX-2015-MY1829582-42321,CentralAmerica
Yes,CA-2015-KH16330140-42329,EasternUS
Yes,ES-2014-MG18205139-41867,NorthernEurope
Yes,CA-2015-DO13645140-42343,EasternUS
Yes,IN-2014-ML177557-41922,Oceania
Yes,SA-2015-AR570110-42299,WesternAsia
Yes,US-2015-LH16900140-42348,CentralUS
Yes,CA-2015-JE15745140-42111,WesternUS
Yes,CA-2013-MV17485140-41450,CentralUS
Yes,IT-2012-KH16690104-41037,SouthernEurope
Yes,IN-2015-SL2015558-42222,SouthernAsia
Yes,MX-2012-KM1672018-41242,SouthAmerica
Yes,ID-2014-DB132107-41934,Oceania
Yes,IN-2012-CM1223527-41248,EasternAsia
Yes,IN-2014-BD116207-41650,Oceania
Yes,CA-2015-OT18730140-42304,SouthernUS
Yes,AO-2013-JE57454-41544,CentralAfrica
Yes,EG-2014-SC1009538-41847,NorthAfrica
Yes,ID-2013-GZ144707-41467,Oceania
Yes,ES-2015-MJ17740139-42073,NorthernEurope
Yes,IR-2014-MM805560-41990,SouthernAsia
Yes,IT-2014-TP2141545-41858,WesternEurope
Yes,ID-2013-TG21640102-41508,SoutheasternAsia
Yes,IN-2014-LS172307-41954,Oceania
Yes,IN-2012-GM1444058-41200,SouthernAsia
Yes,TU-2012-AJ960134-40990,WesternAsia
Yes,CA-2014-PF19225140-41817,SouthernUS
Yes,IN-2014-TB2162558-41724,SouthernAsia
Yes,MX-2012-ND1837082-41223,CentralAmerica
Yes,ID-2015-MG1814592-42132,Oceania
Yes,CA-2014-CA12265140-41677,SouthernUS
Yes,SF-2012-MH7440117-41065,SouthernAfrica
Yes,MX-2012-AB1015093-41101,CentralAmerica
Yes,IZ-2015-EM396061-42110,WesternAsia
Yes,IN-2015-AW1084058-42083,SouthernAsia
Yes,ES-2015-PS1897045-42179,WesternEurope
Yes,ES-2013-WB2185064-41587,SouthernEurope
Yes,CA-2015-NC18535140-42096,WesternUS
Yes,MX-2014-LS1697518-41666,SouthAmerica
Yes,IN-2012-SB2018559-41157,SoutheasternAsia
Yes,ML-2014-BD177079-41893,WesternAfrica
Yes,MX-2015-CM1244582-42354,CentralAmerica
Yes,MX-2012-AW1084082-41192,CentralAmerica
Yes,MX-2015-CL1270093-42180,CentralAmerica
Yes,CA-2015-CC12475140-42278,EasternUS
Yes,MX-2014-AH1069093-41990,CentralAmerica
Yes,AO-2013-SF102004-41628,CentralAfrica
Yes,MX-2014-SZ2003518-41703,SouthAmerica
Yes,EG-2015-RA994538-42342,NorthAfrica
Yes,TU-2015-AG495134-42130,WesternAsia
Yes,IN-2012-PR1888058-41013,SouthernAsia
Yes,ES-2015-CS1235548-42010,WesternEurope
Yes,IN-2015-MH1811558-42185,SouthernAsia
Yes,IN-2015-JP1546058-42258,SouthernAsia
Yes,IR-2015-CA196560-42201,SouthernAsia
Yes,MX-2013-AF1087026-41536,SouthAmerica
Yes,US-2012-JF15490140-41269,WesternUS
Yes,IN-2015-PS18760102-42263,SoutheasternAsia
Yes,ES-2014-KT1646548-41678,WesternEurope
Yes,ES-2014-MC1760548-41900,WesternEurope
Yes,MX-2014-BE1145531-41650,Caribbean
Yes,CA-2015-BP11095140-42352,EasternUS
Yes,CG-2014-ML775533-41740,CentralAfrica
Yes,ID-2014-CV1280527-41773,EasternAsia
Yes,SA-2013-RF9840110-41277,WesternAsia
Yes,SF-2012-AG675117-40976,SouthernAfrica
Yes,US-2015-CR12820140-42284,EasternUS
Yes,ES-2013-MB1808545-41629,WesternEurope
Yes,IN-2015-SC20260130-42032,SoutheasternAsia
Yes,IN-2012-TS211607-41179,Oceania
Yes,IZ-2015-MO795061-42271,WesternAsia
Yes,MX-2014-LL1684039-41853,CentralAmerica
Yes,ES-2013-EB14110139-41528,NorthernEurope
Yes,CA-2015-BT11530140-42278,WesternUS
Yes,ES-2013-LC1714064-41409,SouthernEurope
Yes,US-2013-DG13300140-41458,EasternUS
Yes,CA-2014-IG15085140-41808,WesternUS
Yes,ES-2015-LO17170139-42166,NorthernEurope
Yes,IN-2015-SS2059059-42364,SoutheasternAsia
Yes,AG-2014-CP20853-41889,NorthAfrica
Yes,US-2012-AB1025582-40928,CentralAmerica
Yes,TU-2014-PK8910134-41798,WesternAsia
Yes,IT-2015-JW1522091-42234,WesternEurope
Yes,CA-2013-RH19510140-41544,WesternUS
Yes,ES-2014-DM13015120-41856,SouthernEurope
Yes,NI-2013-JB600095-41621,WesternAfrica
Yes,US-2015-TC2114555-42166,CentralAmerica
Yes,IT-2013-DJ1351064-41352,SouthernEurope
Yes,IN-2012-DB131207-41257,Oceania
Yes,IZ-2015-EH412561-42161,WesternAsia
Yes,US-2013-KB16315140-41318,EasternUS
Yes,CA-2015-CV12805140-42025,EasternUS
Yes,MX-2015-AG1052518-42357,SouthAmerica
Yes,IN-2012-MP179657-41242,Oceania
Yes,IN-2015-PG1882097-42251,SouthernAsia
Yes,ES-2012-SW2024548-41073,WesternEurope
Yes,IT-2012-MC1742548-41177,WesternEurope
Yes,TU-2012-CS1845134-41235,WesternAsia
Yes,CA-2015-SC20725140-42182,EasternUS
Yes,ES-2015-TP21415139-42251,NorthernEurope
Yes,CA-2015-RA19915140-42357,WesternUS
Yes,ES-2014-SV2093545-41674,WesternEurope
Yes,KZ-2015-RM975068-42228,CentralAsia
Yes,KG-2015-RH955570-42340,CentralAsia
Yes,IT-2015-JS1603045-42229,WesternEurope
Yes,CA-2015-LW16990140-42336,WesternUS
Yes,IN-2015-SS2059059-42236,SoutheasternAsia
Yes,IN-2012-LH1715559-40968,SoutheasternAsia
Yes,US-2015-TT21220140-42186,WesternUS
Yes,SF-2015-RS9765117-42224,SouthernAfrica
Yes,ID-2014-JF153557-41649,Oceania
Yes,IT-2014-CA12310139-41961,NorthernEurope
Yes,ES-2015-SL2015545-42335,WesternEurope
